SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
935292,0SREI19H    ,F ,D,1600.00,1610.00,1600.00,1610.00,1610.00,1604.00,2,8,12860.00,
935315,940IFCI19C  ,F ,D,970.50,970.50,970.50,970.50,970.50,980.00,1,20,19410.00,
935321,990IFCI24F  ,F ,D,1008.00,1008.00,1008.00,1008.00,1008.00,1019.90,1,10,10080.00,
935363,1060ECL20   ,F ,D,1050.00,1054.00,1050.00,1054.00,1054.00,997.50,2,2,2104.00,
935383,849NTPC25   ,F ,D,12.91,13.00,12.91,12.97,12.97,12.95,23,3183,41253.00,
935463,1075SREI20  ,F ,D,841.00,841.00,841.00,841.00,841.00,991.99,1,45,37845.00,
935514,760PFC35    ,F ,D,1180.00,1180.00,1180.00,1180.00,1180.00,1175.00,4,100,118000.00,
935548,743REC35    ,F ,D,1170.00,1170.00,1170.00,1170.00,1170.00,1170.00,1,363,424710.00,
935564,0KFL22H     ,F ,D,1480.00,1480.00,1480.00,1480.00,1480.00,1335.00,1,22,32560.00,
935584,76NHAI31    ,F ,D,1129.00,1133.00,1129.00,1133.00,1133.00,1128.50,14,1750,1979099.00,
935618,774IREDA31  ,F ,D,1145.00,1155.00,1145.00,1155.00,1155.00,1136.05,10,939,1079037.00,
935642,764HUDCO31  ,F ,D,1147.00,1147.00,1147.00,1147.00,1147.00,1148.00,2,300,344100.00,
935662,729NHAI26   ,F ,D,1140.00,1142.00,1140.00,1142.00,1142.00,1194.10,6,50,57095.00,
935666,769NHAI31   ,F ,D,1180.00,1180.00,1180.00,1180.00,1180.00,1184.50,2,85,100300.00,
935672,729HUDCO26  ,F ,D,1110.00,1115.00,1110.00,1111.00,1111.00,1109.00,5,187,207606.00,
935674,769HUDCO31  ,F ,D,1167.00,1177.00,1167.00,1175.05,1177.00,1150.00,13,550,642194.00,
935680,729IRFC26   ,F ,D,1107.00,1107.00,1107.00,1107.00,1107.00,1105.00,2,15,16605.00,
935688,729NABARD26 ,F ,D,1083.99,1083.99,1083.86,1083.89,1083.89,1065.00,4,265,287240.00,
935740,872MMFSL26  ,F ,D,1014.00,1014.00,1002.00,1002.00,1002.00,1012.50,2,50,50400.00,
935752,9MMFSL26    ,F ,D,1006.75,1006.75,1006.00,1006.50,1006.50,1005.31,7,107,107676.00,
935788,10EHFL26    ,F ,D,912.90,915.00,909.00,914.99,915.00,899.99,22,19687,18008545.00,
935794,883DHFL19B  ,F ,D,934.00,934.00,934.00,934.00,934.00,905.00,1,10,9340.00,
935802,893DHFL26B  ,F ,D,491.20,534.00,491.10,534.00,534.00,525.00,5,80,39822.00,
935804,910DHFL19A  ,F ,D,880.00,880.00,880.00,880.00,880.00,870.00,1,5,4400.00,
935806,920DHFL19B  ,F ,D,940.00,940.00,940.00,940.00,940.00,933.00,1,10,9400.00,
935810,925DHFL21B  ,F ,D,600.00,600.00,600.00,600.00,600.00,625.00,1,2,1200.00,
935814,930DHFL26B  ,F ,D,492.00,492.00,490.80,490.80,490.80,515.00,3,40,19650.00,
935832,910DHFL19B  ,F ,D,870.00,870.00,870.00,870.00,870.00,870.00,1,50,43500.00,
935840,925DHFL23B  ,F ,D,532.00,532.00,532.00,532.00,532.00,516.00,1,1,532.00,
935846,87IBHFL19C  ,F ,D,1020.10,1020.10,1020.10,1020.10,1020.10,1047.00,1,1,1020.00,
935852,89IBHFL21B  ,F ,D,910.20,910.20,910.00,910.00,910.00,920.00,2,70,63704.00,
935854,0IBHFL21    ,F ,D,1120.00,1134.75,1120.00,1134.75,1134.75,1135.00,3,84,94699.00,
935856,865IBHFL26  ,F ,D,875.00,875.00,875.00,875.00,875.00,874.90,1,10,8750.00,
935896,960SIFL21   ,F ,D,780.00,900.00,780.00,900.00,900.00,942.00,4,400,335960.00,
935898,10SIFL21    ,F ,D,850.00,850.00,850.00,850.00,850.00,850.00,1,35,29750.00,
935912,915RHFL27B  ,F ,D,420.00,420.00,420.00,420.00,420.00,443.79,1,100,42000.00,
935928,95SEFL20B   ,F ,D,960.00,960.00,960.00,960.00,960.00,961.00,2,100,96000.00,
935988,888SIFL20   ,F ,D,930.00,930.00,930.00,930.00,930.00,935.00,1,9,8370.00,
935992,0SIFL20     ,F ,D,1100.00,1100.00,1100.00,1100.00,1100.00,1139.00,2,200,220000.00,
935996,950SIFL22   ,F ,D,803.00,803.00,803.00,803.00,803.00,825.00,1,25,20075.00,
936028,10KFL20A    ,F ,D,992.00,992.00,992.00,992.00,992.00,990.00,1,165,163680.00,
936040,785MMFSL24  ,F ,D,945.00,950.00,945.00,950.00,950.00,930.00,2,20,18950.00,
936062,950SEFL27   ,F ,D,800.00,859.00,799.00,854.50,859.00,899.00,6,203,162492.00,
936104,843SIFL21   ,F ,D,835.00,835.00,835.00,835.00,835.00,832.80,1,2,1670.00,
936110,865SIFL23   ,F ,D,850.00,850.00,850.00,850.00,850.00,835.80,1,22,18700.00,
936122,842ERFL21   ,F ,D,955.10,955.10,955.10,955.10,955.10,954.99,1,6,5730.00,
936124,875ERFL21   ,F ,D,975.00,975.00,971.00,971.00,971.00,971.00,5,1400,1360400.00,
936130,888ERFL28   ,F ,D,821.00,821.00,821.00,821.00,821.00,830.08,1,5,4105.00,
936132,925ERFL28   ,F ,D,901.00,901.00,900.00,900.86,900.00,901.00,4,107,96400.00,
936138,875MFL23    ,F ,D,962.00,962.00,960.00,960.00,960.00,950.00,2,195,187400.00,
936166,10KFL23     ,F ,D,960.05,985.00,960.04,980.00,980.00,986.00,16,1650,1597119.00,
936180,9SEFL23A    ,F ,D,850.00,850.00,850.00,850.00,850.00,839.00,7,84,71400.00,
936196,865DHFL23   ,F ,D,500.00,510.00,500.00,510.00,510.00,497.53,5,56,28100.00,
936198,89DHFL21    ,F ,D,515.00,597.90,515.00,597.90,597.90,530.00,3,53,27492.00,
936206,910DHFL28   ,F ,D,400.00,400.00,400.00,400.00,400.00,400.00,1,10,4000.00,
936220,95JMFCSL23  ,F ,D,941.09,942.00,940.00,942.00,942.00,950.00,3,76,71487.00,
936224,975JMFCSL28 ,F ,D,940.00,940.00,925.00,925.00,925.00,935.00,3,134,124900.00,
936228,893STFCL23  ,F ,D,989.45,989.45,989.45,989.45,989.45,989.95,1,1,989.00,
936232,91STFCL21   ,F ,D,979.00,979.00,978.55,978.86,978.55,970.00,3,160,156617.00,
936234,93STFCL23   ,F ,D,960.01,960.01,960.00,960.00,960.00,974.00,3,60,57600.00,
936236,94STFCL28   ,F ,D,955.00,955.00,950.00,950.00,950.00,950.00,4,360,342550.00,
936238,0STFCL21F   ,F ,D,1057.00,1057.00,1057.00,1057.00,1057.00,1057.00,1,30,31710.00,
936242,0EFL21      ,F ,D,1035.00,1035.00,1033.00,1033.50,1033.00,1031.00,3,300,310200.00,
936244,945EFL21    ,F ,D,1069.00,1069.00,1040.00,1040.00,1040.00,1040.00,2,2,2109.00,
936246,925EFL23    ,F ,D,940.00,940.00,939.00,939.00,939.00,937.00,2,17,15970.00,
936248,0EFL23      ,F ,D,1000.00,1000.00,1000.00,1000.00,1000.00,1004.00,1,100,100000.00,
936250,965EFL23    ,F ,D,1017.00,1017.00,1017.00,1017.00,1017.00,1017.00,1,100,101700.00,
936252,943EFL28    ,F ,D,900.00,909.00,900.00,909.00,909.00,900.17,5,1173,1064359.00,
936278,884ICCL28   ,F ,D,839.20,839.20,836.00,836.00,836.00,839.70,2,26,21800.00,
936286,880TCFSL21  ,F ,D,1060.00,1070.00,1060.00,1065.00,1065.00,1062.00,21,1793,1911290.00,
936290,890TCFSL23  ,F ,D,1072.00,1075.00,1072.00,1075.00,1075.00,1072.77,19,400,429407.00,
936294,910TCFSL28  ,F ,D,1038.65,1090.10,1038.65,1090.10,1090.10,1090.00,6,90,97594.00,
936298,0KFL20F     ,F ,D,1030.00,1060.00,1030.00,1045.00,1060.00,1060.00,4,200,209000.00,
936304,0KFL22D     ,F ,D,1040.00,1040.00,1040.00,1040.00,1040.00,965.00,1,30,31200.00,
936318,965AHFL23   ,F ,D,945.00,945.00,945.00,945.00,945.00,945.00,1,10,9450.00,
936320,935AHFL28   ,F ,D,970.00,970.00,970.00,970.00,970.00,880.00,1,1,970.00,
936324,912STFCL23  ,F ,D,980.00,980.00,975.00,975.00,975.00,972.00,2,57,55785.00,
936326,930STFCL28  ,F ,D,912.70,912.70,912.70,912.70,912.70,1012.00,1,19,17341.00,
